Table 2
Groups of Surveyed Galaxies and ACIS Observations

Group	Galaxies	Number	Exposure	ObsID	Observation	OBSMJD	Exposure	Chips	bkgd^a	Number	
No.		of Obs.	Total (s)		Date		(s)	Used		of Sources	
44	NGC4314	3	34480	399	2000 Jul 7	51732.174	1952	6 7	0.06	5	
				2062	2001 Apr 2	52001.814	16279	6 7	3	27	
				2063	2001 Jun 22	52082.825	16249	6 7	0.5	39	
	
45	NGC4559	3	23832	2026	2001 Jan 14	51923.684	9725	6 7	0.2	10	
				2027	2001 Jun 4	52064.052	11106	6 7	0.2	11	
				2686	2002 Mar 14	52347.218	3001	6 7	0.09	17	
	
46	NGC891	2	171961	794	2000 Nov 1	51849.775	51558	6 7	2	65	
				4613	2003 Dec 10	52983.379	120403	6 7	4	104	
	
47	NGC2681	2	161938	2060	2001 Jan 30	51939.026	81932	6 7	3	69	
				2061	2001 May 2	52031.923	80006	6 7	2	79	
	
48	IC5332	2	108767	2066	2001 May 2	52031.035	52812	6 7	1	64	
				2067	2001 Jul 10	52100.966	55955	6 7	2	65	
	
49	NGC1569	2	108153	782	2000 Apr 11	51645.004	98000	7	15	45	
				4745	2004 Jan 10	53014.988	10153	6 7	0.3	22	
	
50	PGC14617	2	92306	3870	2003 Mar 24	52722.494	51119	6 7	2	46	
				3871	2003 Jun 22	52812.293	41187	6 7	2	31	
	
51	NGC1387	2	91418	4168	2003 May 20	52779.956	46236	0 1 2 3	2	106	
	NGC1382			4170	2003 May 24	52783.157	45182	0 1 2 3	2	79	
	PGC13343										
	
52	NGC4013	2	85074	4013	2003 Mar 16	52714.715	4959	6 7	0.1	13	
				4739	2004 Feb 3	53038.397	80115	6 7	2	70	
	
53	NGC3683	2	78977	4659	2004 Apr 7	53102.260	40172	6 7	1	61	
				4660	2004 Jun 6	53162.716	38805	6 7	1	50	
	
54	NGC1291	2	76671	795	2000 Jun 27	51722.917	39670	6 7	1	83	
				2059	2000 Nov 7	51855.228	37001	6 7	3	73	
	
55	NGC278	2	76495	2055	2001 Jun 22	52082.353	38748	6 7	1	61	
				2056	2001 Oct 18	52200.716	37747	6 7	1	57	
	
56	NGC1332	2	75775	2915	2002 Sep 18	52535.122	18515	6 7	1	34	
	NGC1331			4372	2002 Sep 19	52536.444	57260	6 7	2	108	
	PGC12827										
	
57	NGC55	2	69807	2255	2001 Sep 11	52163.267	60118	0 1 2 3	2	156	
				4744	2004 Jun 29	53185.075	9689	0 1 2 3	0.3	39	
	
58	NGC3184	2	66697	804	2000 Jan 8	51551.036	42662	6 7	1	75	
				1520	2000 Feb 3	51577.446	24035	6 7	0.8	56	
	
59	IC2560	2	65627	1592	2000 Oct 29	51846.918	9952	6 7	0.3	21	
				4908	2004 Feb 16	53051.846	55675	6 7	2	32	
	
60	NGC4565	2	62853	404	2000 Jun 30	51725.130	2892	6 7	0.1	13	
				3950	2003 Feb 8	52678.799	59961	6 7	2	89	
	
61	NGC1052	2	62353	385	2000 Aug 29	51785.966	2395	6 7	0.07	6	
				5910	2005 Sep 18	53631.411	59958	6 7	2	84	
	
62	NGC5236	2	61603	793	2000 Apr 29	51663.580	51632	6 7	2	139	
				2064	2001 Sep 4	52156.999	9971	6 7	0.6	50	
	
63	NGC7090	2	57432	7060	2005 Dec 18	53722.228	26412	6 7	1	43	
				7252	2006 Apr 10	53835.853	31020	6 7	2	45	
	
64	NGC3256	2	55727	835	2000 Jan 5	51548.064	28148	6 7	1	38	
				3569	2003 May 23	52782.143	27579	6 7	0.8	58	
	
65	NGC4736	2	52227	808	2000 May 13	51677.133	49795	7	7	48	
				410	2000 Jun 24	51719.583	2432	6 7	0.02	10	
	
66	NGC7424	2	47922	3495	2002 May 21	52415.983	23734	6 7	0.7	38	
				3496	2002 Jun 11	52436.252	24188	6 7	0.7	38	
	
67	NGC4406	2	47881	318	2000 Apr 7	51641.318	14819	6 7	1	28	
				5912	2005 Mar 9	53438.238	33062	0 1 2 3	2	55	
	
68	NGC4569	2	41359	405	2000 Feb 17	51591.101	1712	6 7	0.07	11	
	IC3583			5911	2005 Nov 13	53687.731	39647	6 7	2	53	
	
69	NGC4136	2	38712	2920	2002 Mar 7	52340.703	18751	6 7	0.5	29	
				2921	2002 Jun 8	52433.908	19961	6 7	0.5	21	
	
70	NGC4579	2	38588	406	2000 Feb 23	51597.996	2945	7	0.5	1	
				807	2000 May 2	51666.685	35643	7	4	27	
	
71	NGC5866	2	36658	1624	2002 Jan 10	52284.738	2478	7	0.1	1	
				2879	2002 Nov 14	52592.109	34180	6 7	1	74	
	
72	NGC2787	2	32405	388	2000 Jan 7	51550.996	1164	6 7	0.03	4	
				4689	2004 May 18	53143.076	31241	6 7	1	43	
	
73	NGC5055	2	30803	413	2000 Apr 15	51649.128	2448	6 7	0.08	23	
				2197	2001 Aug 27	52148.093	28355	6 7	1	83	
	
74	NGC2841	2	30351	389	1999 Dec 20	51532.476	1772	6 7	0.06	8	
				6096	2004 Dec 18	53357.206	28579	6 7	1	64	
	
75	NGC4494	2	26934	403	1999 Dec 20	51532.522	1779	6 7	0.06	9	
				2079	2001 Aug 5	52126.417	25155	6 7	1	41	
	
76	NGC4725	2	26735	409	1999 Dec 20	51532.561	1776	6 7	0.07	11	
				2976	2002 Dec 2	52610.660	24959	6 7	0.7	53	
	
77	NGC404	2	25925	870	1999 Dec 19	51531.884	24169	6 7	0.9	43	
				384	2000 Aug 30	51786.568	1756	6 7	0.06	8	
	
78	NGC4501	2	22761	3324	2002 Jul 21	52476.852	4662	6 7	0.2	10	
				2922	2002 Dec 9	52617.039	18099	6 7	0.8	51	
	
79	NGC1058	2	22147	387	2000 Mar 20	51623.701	2438	6 7	0.08	3	
				9579	2007 Aug 29	54341.066	19709	0 1 2 3	0.8	52	
	
80	NGC7582	2	19564	436	2000 Oct 14	51831.713	13619	6 7	0.9	25	
				2319	2000 Oct 15	51832.558	5945	6 7	0.2	14	
	
81	NGC6503	2	15400	872	2000 Mar 23	51626.322	13359	6 7	0.5	26	
				1640	2000 Oct 27	51844.994	2041	6 7	0.1	8	
	
82	NGC5953	2	14914	2930	2002 Jun 11	52436.009	10159	6 7	0.3	14	
	NGC5954			4023	2002 Dec 29	52637.521	4755	6 7	0.2	10	
	PGC55478										
	
83	PGC48179	2	14360	6321	2005 Jul 4	53555.487	7180	6 7	0.1	14	
				6322	2005 Jul 4	53555.574	7180	6 7	0.08	16	
	
84	NGC1097	2	11740	2339	2001 Jan 28	51937.496	6332	7	0.7	11	
	NGC1097A			1611	2001 Jan 28	51937.577	5408	6 7	0.1	33	
	
85	NGC5506	2	9738	357	2000 Jun 2	51697.741	785	7	0.09	1	
	NGC5507			358	2000 Aug 14	51770.303	8953	6 7	0.3	17	
	
86	NGC3458	2	9516	1691	2001 Jul 6	52096.108	4758	0 1 2 3	0.1	16	
				1692	2001 Jul 6	52096.172	4758	0 1 2 3	0.1	12	
	
87	NGC4309	2	8700	7122	2006 Nov 13	54052.649	3353	6 7	0.1	9	
				8105	2007 Nov 12	54416.688	5347	6 7	0.2	15	
	
88	NGC660	2	7068	1633	2001 Jan 28	51937.065	1939	6 7	0.07	4	
				4010	2003 Feb 12	52682.922	5129	6 7	0.1	11	
	
89	NGC3368	2	6367	2260	2000 Nov 4	51852.935	4355	0 1 2 3	0.2	16	
