Table 6
Ultraluminous X-ray Sources in Nearby Galaxies

Group	CXOJ^a	Pos.^b	Source^c	alpha^d	r_25^e	Dis.^f	V/D^g	L_Xmax^h	F_Xavg^i	F/F^j	sigma_max^k	C_max^l	SQH^m	Var/K-S^n	Notes^o	
No.		Err.	Name	(")		(Mpc)		(erg s^-1)	(cgs)							
36	CXOJ123043.186+413818.64	1	NGC4490-X3	1.214	0.53	7.8	3/3	3.31e+39	4.05e-13	1.2^+0.06_-0.057	343.446	2072.407	h3		1ULX	
38	CXOJ034555.627+680455.42	1.06	IC342-X1	5.112	0.49	3.9	3/3	5.84e+39	2.97e-12	1.3^+0.04_-0.039	771.437	10481.323	h3	v:1	1ULX	
40	CXOJ024238.890-000055.12	1	NGC1068-X4	0.348	0.10	14.4	3/2	5.57e+39	1.86e-13	3.4^+0.09_-0.09	125.912	1509.076	h2		1ULX	
40	CXOJ024239.710-000101.45	1	NGC1068-X5	0.256	0.08	14.4	3/2	2.34e+39	9.26e-14	6^+0.54_-0.54	39.407	578.561	h2		1ULX	
40	CXOJ024241.268-000037.66	1.02	NGC1068-X3	0.318	0.09	14.4	3/1	7.46e+39	3.00e-13	7^+0.41_-0.41	23.692	530.728	q1		1ULX	
40	CXOJ024244.422-000633.30	1	NGC1068-X2	5.851	1.94	14.4	1/1	1.18e+40	4.75e-13	1	177.719	2052.469	q1	v:1	2EULX	
41	CXOJ122923.712+075359.14	1	NGC4472-X2	8.222	1.93	16.29	2/2	7.39e+39	1.43e-13	4.3^+1.9_-1.1	55.867	789.370	h2		2ULX	
41	CXOJ122927.785+080630.96	1	NGC4472-X3	8.023	1.58	16.29	2/2	5.7e+39	1.52e-13	1.4^+0.37_-0.28	43.197	104.721	h2		2ULX	
41	CXOJ122934.786+080933.59	1.47	NGC4472-X4	10.022	1.97	16.29	2/2	4.43e+39	1.33e-13	1.1^+0.3_-0.24	21.657	86.248	h2		2ULX	
41	CXOJ122937.848+074932.34	4.22	NGC4470-X1	0.173	0.27	31.2	1/1	2.84e+39	2.43e-14	1	7.132	70.300	h1		1ULX	
41	CXOJ122939.658+075332.68	1	NGC4472-X5	6.642	1.43	16.29	2/2	3.53e+39	9.17e-14	1.5^+0.38_-0.28	47.421	369.593	h2	v:1	2ULX	
41	CXOJ122946.930+075955.28	1.01	NGC4472-X6	0.115	0.03	16.29	2/1	2.79e+39	8.77e-14	2.2^+0.13_-0.13	26.568	477.580	h1		1ULX	
41	CXOJ123006.310+080203.55	1	NGC4472-X7	5.332	1.28	16.29	2/2	2.01e+39	4.27e-14	2.8^+1.1_-0.69	42.625	305.668	h2		2ULX	
